"id";"weblink"
"Grundrechte-Klausur-und-Examensfälle > Fall 6 - Versammlungsfreiheit > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_6_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 7 - Allg. Persönlichkeitsrecht";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_7"
"Grundrechte-Klausur-und-Examensfälle > Fall 7 - Allg. Persönlichkeitsrecht > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_7#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 7 - Allg. Persönlichkeitsrecht > Fallfrage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_7#Fallfrage"
"Grundrechte-Klausur-und-Examensfälle > Fall 7 - Allg. Persönlichkeitsrecht > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_7_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 8 - Eigentumsfreiheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_8a"
"Grundrechte-Klausur-und-Examensfälle > Fall 8 - Eigentumsfreiheit > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_8a#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 8 - Eigentumsfreiheit > Fallfrage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_8a#Fallfrage"
"Grundrechte-Klausur-und-Examensfälle > Fall 8 - Eigentumsfreiheit > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_8a_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 9 - Religionsfreiheit";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_9"
"Grundrechte-Klausur-und-Examensfälle > Fall 9 - Religionsfreiheit > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_9#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 9 - Religionsfreiheit > Fallfrage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_9#Fallfrage"
"Grundrechte-Klausur-und-Examensfälle > Fall 9 - Religionsfreiheit > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_9_L%C3%B6sung"
"Grundrechte-Klausur-und-Examensfälle > Fall 10 - Gleichheitsrechte";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_10"
"Grundrechte-Klausur-und-Examensfälle > Fall 10 - Gleichheitsrechte > Sachverhalt";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_10#Sachverhalt"
"Grundrechte-Klausur-und-Examensfälle > Fall 10 - Gleichheitsrechte > Fallfrage";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_10#Fallfrage"
"Grundrechte-Klausur-und-Examensfälle > Fall 10 - Gleichheitsrechte > Lösung";"https://de.wikibooks.org/wiki/OpenRewi/_Grundrechte-Fallbuch/_Fall_10_L%C3%B6sung"
